Signature,Citation,N_genes,Training_label,Cancer_type,Training_data,Sample_size,Validation,Performance,Method
PARPi7,"Swisher et al., Lancet Oncol 2017; Konstantinopoulos et al.",7,BRCA1/2 mutation status,Ovarian (HGSOC),TCGA-OV + cell lines,~300,ARIEL2/3 trials,AUC ~0.71 for PARPi response,7 DNA-repair gene expression panel
CIN70,"Carter et al., Nature Genetics 2006",70,Aneuploidy / chromosomal instability,Pan-cancer,NCI-60 cell lines,~60 cell lines + tumors,Multiple tumor cohorts,Prognostic across cancers; correlates with grade,Correlation with total functional aneuploidy
Severson BRCA1ness,"Severson et al., Breast Cancer Res 2017",77,BRCA1 germline mutation status,TNBC,TCGA-BRCA TNBC subset,~230 TNBC,I-SPY 2 trial (olaparib arm),Significant assoc. with PARPi response (p=0.006),Centroid-based (Pearson correlation to BRCA1-like template)
Peng 2014,"Peng et al., Nature Communications 2014",230,HR deficiency in cell lines (siRNA knockdown),Breast (developed in cell lines),MCF10A HR-deficient vs parental,Cell lines + TCGA-BRCA,"TCGA-BRCA, METABRIC",Prognostic for OS in BRCA; predicts cisplatin sensitivity,"DEGs (FC>2, p<0.001) between HR-deficient and parental cells"
Multiscale HRD,"Jacobson et al., Genome Medicine 2023",228,Exome-based HRD classification (indel likelihood),Breast,TCGA-BRCA (n=572 train),857 total (572 train / 285 test),"SMC cohort (AUC=0.81), I-SPY 2 trial","AUC=0.88 (TCGA test), AUC=0.81 (SMC)",Multinomial elastic net on deconvoluted expression
Konstantinopoulos BRCAness,"Konstantinopoulos et al., JCO 2010",60,BRCA1/2 germline mutation status,Ovarian (EOC),Microarray (61 EOC patients),131 patients,"Platinum response, PARPi sensitivity (Capan-1)",8/10 platinum response; DFS 34 vs 15 mo (p=0.013),Diagonal linear discriminant (60-gene classifier)
softHRD,"This repository (Jacobson/Pan, in development)",109,HRD-sum score >= 42 (binary) + soft labels,Breast,TCGA-BRCA (n=857),857,"I-SPY 2, CCLE breast cell lines","AUC=0.89 (TCGA), p=0.03 I-SPY2 pCR assoc.",DESeq2 -> elastic net (binary + soft-label regression)
Beinse 2022 (pan-gyn),"Beinse et al., British J Cancer 2022",656,"Genomic HRD score (continuous, from SNP arrays)","Breast, Endometrial, Ovarian",TCGA BRCA/UCEC/OV (n=1684),1684 train + 4038 validation,"CARPEM, CPTAC, SCAN, TCGA held-out","R^2=0.82, AUC=0.96 (pan-gyn), 0.92 (BRCA)",Ridge regression on genomic HRD score
POLQ marker,"Ceccaldi et al., Nature 2015; Zhou et al., Nat Cancer 2021",1,HR pathway status (synthetic lethality),Pan-cancer,Cell lines + TCGA,Multiple cohorts,Preclinical + clinical cohorts,Correlates with HR deficiency; synthetic lethal with BRCA1/2,Single gene expression level
expHRD,"Kim et al., BMC Bioinformatics 2024",356,scarHRD score (continuous),Ovarian (pan-cancer applicable),TCGA-OV (pan-cancer training),~500 OV + pan-cancer,"TCGA-OV, GDC ovarian","High correlation with scarHRD, superior to Peng 2014",Elastic net regression with bootstrap gene selection
Pan HRD200,"Pan et al., npj Breast Cancer 2024",122,HRD mutational signatures (WGS-based),TNBC,MyBrCa cohort (n=129 TNBC),129 train + TCGA/METABRIC/ICGC validation,"TCGA TNBC (AUC=0.84), METABRIC, ICGC","AUROC=0.93 (MyBrCa), 0.84 (TCGA)",Machine learning classifier on 217 DEGs -> 122 features
Prostate HRDness 16-GPS,"Wang et al., iScience 2021",32,HRD genomic features (WGS-based),Prostate,TCGA-PRAD + SU2C,~500,3 independent prostate datasets,Superior to HRDetect for prostate HRD subtyping,Relative expression ordering (16 gene pairs)
